"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","v_193","v_194","v_203","v_195","v_196","v_204","v_197","v_198","v_205","InJu1","v_206","v_207","v_208","v_209","v_210","v_211","v_212","v_213","v_214","Int_Rsn","hrm_st","nrm_st","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","v_215","v_216","v_217","v_218","v_219","v_220","v_221","v_222","v_223","InJu2","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","InChM","InCf2","v_181","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","condition","cog_load_test","cog_load_CS","cog_load_CS_num","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","cog_Mch_num","Dumb_response","engaged","right_change","wrong1b","wrong2b"
27,62,0,"no tester","Completed (31)","2154372                     ",NA,557,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",23,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",2,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","On the one hand incest is against the norm but and therefore considered to be morally wrong, but on the other hand it was safe sex and no one got hurt.                                                                                                       ","no harm mentioned","norms mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",7,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Yes, I have a reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted",3,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","2",2,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","5","2",3,"7: Extremely",2,"No","No",3,8,2,6,3,6,4,8,8,8,7,2,7,8,6,8,2,8,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,7,"wrong","wrong","wrong","wrong",8,4,7,6,2,2,8,2,8,108,1,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,"unstated","unstated","unstated","reason","no reason","unstated","no reason","no reason","reason",FALSE,3,"admission","engaged","dumbfounded","wrong","wrong"
28,34,0,"no tester","Completed (31)","2154372                     ",NA,413,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",33,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Violating an established moral norm should not be encouraged. they are moral norms for a reason.                                                                                                                                                              ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",2,"not quoted","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","They are in a sinful relationship that will mess them up emotionally down the line.                                                                                                                                                                           ","harm mentioned","norms not mentioned","quoted","quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted",7,"Yes","Yes","No, I have no reason","No","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",1,"quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","1: Not at all",7,"Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",6,"7: Extremely",1,"No","No",7,5,3,4,5,5,2,3,8,7,6,6,4,3,4,7,4,7,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,TRUE,9,"wrong","wrong","wrong","wrong",7,6,5,8,7,2,4,3,6,96,0.333333333333333,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,2,"admission","engaged","dumbfounded","wrong","wrong"
29,36,0,"no tester","Completed (31)","2154372                     ",NA,608,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",56,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","because they are brother and sister it is incest and should not be permitted                                                                                                                                                                                  ","no harm mentioned","norms mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",6,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",2,"not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted","2",4,"Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","5",5,"6",2,"Yes","No",4,4,5,5,7,2,3,6,6,4,3,7,3,2,4,6,6,3,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,TRUE,9,"wrong","wrong","wrong","wrong",5,5,3,7,4,4,3,4,4,68,-1.22222222222222,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","unstated","unstated","unstated","no reason","unstated","no reason","no reason","no reason",FALSE,2,"admission","engaged","dumbfounded","wrong","wrong"
30,59,0,"no tester","Completed (31)","2154372                     ",NA,564,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",25,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","best choice based on the information provided in the survey                                                                                                                                                                                                   ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",7,"not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","best choice based on the information provided in the survey                                                                                                                                                                                                   ","no harm mentioned","norms not mentioned","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted",7,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","No","No","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","quoted",6,"quoted","quoted","not quoted","quoted","quoted","not quoted","not quoted","quoted","not quoted","6",7,"Very easy","No, I am not able to believe this","No, I am not able to believe this","harm","2","5",4,"6",4,"No","No",8,3,9,4,7,5,5,4,9,9,7,2,6,6,3,5,3,1,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,3,"right","right","not wrong","not wrong",1,6,3,5,6,1,8,5,7,90,0,"neutral","true","true","true","false","not wrong","not wrong","not wrong","not wrong","wrong","not wrong",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,6,"admission","not engaged","right initially","not wrong","not wrong"
31,75,0,"no tester","Suspended (22)","2154323                     ",NA,575,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",35,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted",7,"quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","nice citzation                                                                                                                                                                                                                                                ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted",7,"Yes","No","Yes, I have a reason","Yes","No","No, I have no reason","No","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted",7,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","1: Not at all",6,"Extremely easy","No, I am not able to believe this","No, I am not able to believe this","harm","6","5",7,"6",1,"Yes","No",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,"-66                                                                                                                                                                                                                                                           ","cog_load",FALSE,FALSE,4,"right","right","not wrong","not wrong",3,3,3,3,3,3,3,3,3,90,0,"wrong","true","true","true","false","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","reason","no reason","no reason","unstated","unstated","reason","no reason","no reason",FALSE,7,"nothing wrong","not engaged","right initially","not wrong","not wrong"
32,26,0,"no tester","Completed (31)","2154372                     ",NA,548,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",43,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","it is wrong to do anything that is immoral                                                                                                                                                                                                                    ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","that is disgusting and not even right                                                                                                                                                                                                                         ","no harm mentioned","norms mentioned","not quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","quoted",7,"No","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","1: Not at all",7,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",7,"4: neutral",1,"No","No",9,9,1,1,1,9,1,5,1,9,9,1,9,5,9,1,1,9,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,7,"wrong","wrong","wrong","wrong",9,9,9,9,5,9,9,9,9,154,3.55555555555556,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,3,"admission","engaged","dumbfounded","wrong","wrong"
33,41,0,"no tester","Completed (31)","2154372                     ",NA,538,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",50,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","i don't know what to say                                                                                                                                                                                                                                      ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","they are fine                                                                                                                                                                                                                                                 ","no harm mentioned","norms not mentioned","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted",3,"Yes","No","Unsure","Yes","No","No, I have no reason","No","No","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted",4,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","5",5,"Very easy","No, I am not able to believe this","No, I am not able to believe this","harm","2","5",4,"5",4,"No","No",7,6,6,7,5,6,3,7,7,7,7,5,2,3,3,5,5,3,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,5,"neutral","neutral","not wrong","not wrong",4,3,5,7,3,3,5,5,5,84,-0.333333333333333,"neutral","true","true","true","false","not wrong","not wrong","not wrong","not wrong","wrong","not wrong",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,2,"unstated","unstated","no reason","unstated","no reason","unstated","no reason","no reason","no reason",FALSE,6,"admission","not engaged","dumbfounded",NA,NA
34,40,0,"no tester","Completed (31)","2154372                     ",NA,1507,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",31,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Even if it causes no harm, it plants a seed that can encourage the violator to continue to violate the established norm. If this moral norm helps to prevent someone from being harmed, then the initial violation very well could cause harm to someone in th","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",2,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","Even if they initially agree to avoid the behavior, there is no way to know what implicit ramifications the behavior had on their brains.                                                                                                                     ","harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted","not quoted","not quoted",5,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","As I said earlier, they don't know how their initial decision will affect their future decisions. Sex has various psychological effects on our brain chemistry and many people react with varying levels of control.                                          ","reason",NA,"It's wrong and I can provide a valid reason.","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted",2,"quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","1: Not at all",5,"Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","3","5",6,"3",6,"No","No",2,8,2,2,2,9,1,2,2,8,8,2,8,9,9,1,2,6,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,5,"wrong","wrong","wrong","wrong",8,8,8,9,8,8,8,9,8,141,2.83333333333333,"right","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,2,"reasons","not engaged","reasons","wrong","wrong"
35,38,0,"no tester","Completed (31)","2154372                     ",NA,820,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",19,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","Siblings should not be having sex                                                                                                                                                                                                                             ","no harm mentioned","norms mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Having sex with a sibling is like having sex with your parent, which would still be wrong.                                                                                                                                                                    ","statement without reason",NA,"It's wrong and I can provide a valid reason.","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",1,"not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","not quoted","1: Not at all",7,"Extremely easy","No, I am not able to believe this","No, I am not able to believe this","harm","5","1: Not at all",7,"5",1,"No","No",7,6,2,3,6,3,8,7,8,8,7,2,7,9,5,7,7,5,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,TRUE,9,"wrong","wrong","wrong","wrong",8,7,4,2,3,2,8,3,3,97,0.388888888888889,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,7,"reasons","engaged","reasons","wrong","wrong"
36,29,0,"no tester","Completed (31)","2154372                     ",NA,2013,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",50,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Any actions that are not morally right is against my core values and principles even though no one is harmed.                                                                                                                                                 ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","They are siblings and what they did was totally unacceptable and is against our my core values.                                                                                                                                                               ","no harm mentioned","norms mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",7,"Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Incest is morally wrong and a cultural taboo. It is not acceptable by most culture and religions as it is unethical. A child born out out this reunion will result in birth defects.                                                                          ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",1,"not quoted","quoted","quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","1: Not at all",7,"Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",6,"6",1,"Yes","Yes",6,6,1,3,5,3,1,3,4,5,7,1,3,7,4,3,3,2,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,7,"wrong","wrong","wrong","wrong",9,7,5,9,7,6,9,7,7,109,1.05555555555556,"wrong","false","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,2,"reasons","engaged","reasons","wrong","wrong"
37,66,0,"no tester","Completed (31)","2154372                     ",NA,719,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",61,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Well, if it is an established moral norm, than I am assuming it would be immoral to do this and thereby not look good or be good as an example to others especially children.                                                                                 ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","quoted","quoted","not quoted","not quoted","It is morally wrong to have sex with a family member.  Very sick and disgusting.  It's not they way God made us.                                                                                                                                              ","no harm mentioned","norms mentioned","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",6,"Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is considered unatural and is a sin in the eyes of God.  I think the guilt and remorse they may feel later will haunt them for years to come.                                                                                                              ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","quoted","not quoted","not quoted","quoted","quoted","not quoted","1: Not at all",7,"Extremely difficult","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","5",2,"6",5,"No","No",3,3,7,8,6,2,6,7,7,3,4,8,2,2,4,7,7,3,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,4,"wrong","wrong","wrong","wrong",3,2,4,4,3,3,2,3,3,53,-2.05555555555556,"right","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,1,"reasons","not engaged","reasons","wrong","wrong"
38,9,0,"no tester","Completed (31)","2154372                     ",NA,344,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",27,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",2,"not quoted","quoted","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","It is not right for immediate family members to have sex together. It can cause birth defects and other emotional trauma to the child and the parents.                                                                                                        ","harm mentioned","norms mentioned","quoted","quoted","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted",5,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is illegal in the country that I live in. Siblings having sex is also very unnatural.                                                                                                                                                                      ","reason",NA,"It's wrong and I can provide a valid reason.","quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted",2,"quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","4: neutral",5,"neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","harm","6","6",5,"6",6,"No","No",5,5,4,6,6,6,5,6,6,5,5,6,6,5,5,6,6,6,"No","-99                                                                                                                                                                                                                                                           ","cog_load",FALSE,FALSE,3,"wrong","wrong","wrong","wrong",6,4,4,5,4,4,4,4,4,87,-0.166666666666667,"right","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,4,"reasons","not engaged","reasons","wrong","wrong"
39,63,0,"no tester","Suspended (22)","2156737                     ",NA,385,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",27,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",5,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","I have no reason for this.                                                                                                                                                                                                                                    ","no harm mentioned","norms not mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",6,"No","Yes","No, I have no reason","No","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong and I can provide a valid reason.","No valid reason.                                                                                                                                                                                                                                              ","statement without reason","changed","It's wrong but I can't think of a reason.","quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",5,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","5",6,"Very easy","No, I am not able to believe this","No, I am not able to believe this","harm","3","6",7,"6",6,"Yes","No",5,4,8,5,3,7,2,6,4,4,4,3,3,7,7,4,3,4,"No","-99                                                                                                                                                                                                                                                           ","cog_load",FALSE,FALSE,7,"right","right","not wrong","not wrong",2,5,7,8,4,6,7,6,7,97,0.388888888888889,"right","true","true","true","false","not wrong","wrong","wrong","wrong","wrong","not wrong",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","no reason","no reason","no reason","reason","unstated","no reason","no reason","no reason",FALSE,6,"unsupported declaration","engaged","right initially","not wrong","not wrong"
40,8,0,"no tester","Completed (31)","2154372                     ",NA,851,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",35,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","There may not be any outward harm noticed, but the action may create onward harm, either to the person violated or the person doing the actions.                                                                                                              ","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",1,"not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted","They are family , it will always be wrong. It has the potential to denigrate society and morally corrupt to only the individuals who engage in the act, but the family as a whole, which is the foundation of society.                                        ","harm mentioned","norms mentioned","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Possibly with future sexual relations, will they hold it a secret, or tell in trust. Secrets can tear at the foundation of the relationship.                                                                                                                  ","reason",NA,"It's wrong and I can provide a valid reason.","quoted","not quoted","quoted","quoted","quoted","not quoted","not quoted","not quoted","not quoted",1,"quoted","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","1: Not at all",7,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","6","1: Not at all",6,"7: Extremely",2,"Yes","No",6,7,3,3,2,6,3,3,4,7,7,3,6,7,7,6,2,6,"No","-99                                                                                                                                                                                                                                                           ","cog_load",FALSE,FALSE,3,"wrong","wrong","wrong","wrong",7,7,8,7,7,6,7,4,8,120,1.66666666666667,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons","not engaged","reasons","wrong","wrong"
41,58,0,"no tester","Completed (31)","2154372                     ",NA,1146,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","They are brother and sister, so morally that is wrong. If they were to get pregnant and have a child, it would be instinctual and would have a lot of issues surrounding the circumstance, and by doing what they did, they are taking that risk (regardless o","harm mentioned","norms mentioned","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted",7,"No","No","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Regardless of the contraceptive used, there is still a risk of pregnancy, and they both are aware that it would not be a normal pregnancy, producing normal off-spring. Also, imagine having to tell your future spouse you slept with your brother or sister ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted",1,"not quoted","quoted","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","1: Not at all",7,"Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","7: Extremely confused",7,"6",1,"Yes","No",9,9,2,2,3,8,3,4,3,9,9,1,4,9,3,3,1,9,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,5,"wrong","wrong","wrong","wrong",8,8,7,7,6,7,9,7,9,137,2.61111111111111,"wrong","true","true","true","false","wrong","not wrong","wrong","wrong","wrong","wrong",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,2,"reasons","not engaged","reasons","wrong","wrong"
