"run_id","condition","rt","url","trial_type","trial_index","time_elapsed","internal_node_id","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject","age","gender","gender_rt","attention_check2","attention_check2_rt","cog_practice","CS_rt","cog_practice1","cog_practice2","cog_practice3","cog_load_response8","attention_check1","attention_check1_rt","scenario","test_condition","InJu1","InJu1_rt","InJu1_trial1","InJu1_trial2","InJu1_trial3","cog_load_response0","conf1","ca1","sw1","rsn1","ca2","sw2","rsn2","ca3","sw3","rsn3","CS","CS_trial1","CS_trial2","CS_trial3","reason","InJu2","InJu2_rt","InJu2_trial1","InJu2_trial2","InJu2_trial3","cog_load_response5","conf2","previous_experience","final_comments","responses","stimulus","button_pressed","key_press","response","gender_other","preview","cog_practice_trial_number","InJu1_trial_number","CS_trial_number","InJu2_trial_number","Ju1_bin","Ju2_bin","InCS","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always"
785,NA,"8138","""","html-button-response",12,161698,"0.0-4.0-0.0-0.0-4.0-0.0","5dcec3c27cc973014db96d5e","618b9cbf713205f8e1c56f02","618c3393f6f4fc31e081c9c0","w2m9baj8ncxfg9y","76",0,2699,1,25891,"1","8138",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","<p><b>Example</b></p><video autoplay muted><source src='video/num_scroll_test9.mp4' type='video/mp4'></video><br><p>Do you find multi-tasking difficult?</p>","1","""",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unstated",NA,NA,NA,NA,"unstated",NA,NA,NA,NA
792,"control","9498","debriefing_form.html","external-html",27,260232,"0.0-7.0","5dcef1425e9119034948cd9e","618b9cbf713205f8e1c56f02","618c35bea4bfbe6372455029","h5bulp00c7h2q14","75",0,2246,1,14006,NA,"5983",NA,NA,NA,NA,8,28670,"Heinz","control","2","12964",1,0,0,NA,6,0,0,0,0,0,0,0,0,0,"2",1,0,0,"One can make a decent living without exploiting others.","2","4566",1,0,0,NA,6,"no","no","""","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
347,"control","164453","""","survey-text",26,599111,"0.0-6.0","5dd0952dade46216691820cc","618b9cbf713205f8e1c56f02","618bf967b0a1ee02ea1c734f","8mssgo1cpg1b8qz","5dd0952dade46216691820cc",0,2355.09999990463,1,17537.5,NA,"8957.699999809265",NA,NA,NA,NA,8,38842.4000000954,"Heinz","control","1","12871.5",1,0,0,NA,7,0,1,0,0,1,0,0,1,0,"2",1,0,0,"In desperate cases like this, i.e., someone dying for lack of the drug, an exception in the name of compassion and humanity must be made for the break-in. It is technically against the law of course, but morally acceptable and should result in very low punitive measures.","1","13230.5",1,0,0,NA,7,"no","No, only that infringements of the law must always be understood in the context of the person's circumstances; just as self-defense is.","{""Q0"":""No, only that infringements of the law must always be understood in the context of the person's circumstances; just as self-defense is. ""}","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","not wrong","not wrong","wrong","wrong",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
604,"cog_load","4550.79999999702","""","survey-text",66,341582,"0.0-6.0","5dd106ec7beb291ab1c63d0f","618b9cbf713205f8e1c56ef4","618c167965f95b46361b5902","rs21nn12tvv92l4","51",0,1525.29999999702,1,8911.79999999702,"2","9962.30000000447",0,2,0,"1",8,20968.6000000015,"Heinz","cog_load","1","14324.89999999851",0,2,0,"1",2,0,1,0,0,1,0,0,1,0,"1",1,0,0,NA,"1","6848",1,0,0,"1",1,"no","no","{""Q0"":""no""}","""","""","""","""",NA,NA,2,2,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","not wrong","not wrong","not wrong","wrong","wrong",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","no reason","unstated","reason","reason","reason",TRUE
639,"control","8290","debriefing_form.html","external-html",26,169106,"0.0-7.0","5dd2a6ea59b1b02a56f831c5","618b9cbf713205f8e1c56ef4","618c1bc35beec53bdd7a9158","suw0o6uxjrhrkuj","51",0,1517,1,41966,NA,"5298",NA,NA,NA,NA,8,9314,"Trolley","control","5","9976",1,0,0,NA,5,0,1,1,1,1,1,0,1,1,"0",1,0,0,NA,"5","2524",1,0,0,NA,5,"The Good Place","""","""","""","""","""","""",NA,NA,NA,1,1,1,"right","right","There is nothing wrong.","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE
540,"control","13467.60000000149","""","survey-text",26,530050,"0.0-6.0","5dd348356d522535afddc44e","618b9cbf713205f8e1c56ef4","618c0f4e53067d36cf6f8f07","laxumq25rnb54l1","52",0,3562.89999999851,1,9587.5,NA,"9914",NA,NA,NA,NA,8,166960.600000001,"Heinz","control","2","9794.5",1,0,0,NA,6,0,0,1,0,0,1,0,0,1,"2",1,0,0,"Even with half the amount paid, he would still make a profit. In addition, Heinz wanted to do a payment plan","2","4977.199999999255",1,0,0,NA,6,"No","Not that I can think of","{""Q0"":""Not that I can think of""}","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","reason","unstated","no reason","no reason","no reason",FALSE
749,"cog_load","3631.7000000476837","debriefing_form.html","external-html",54,265869,"0.0-7.0","5dd438b65a40f24302c09c2d","618b9cbf713205f8e1c56f05","618c2aacbf9daa6c8b284919","wwzahyz2m8puwzv","55",1,1132.09999990463,4,16637.1999998093,"1","15840.700000047684",1,0,0,"0",8,21764.4000000954,"Trolley","cog_load","2","4576.200000047684",1,0,0,"3",5,0,0,0,0,1,0,0,1,0,"2",1,0,0,"3","6","13181.599999904633",1,0,0,"1",7,"no","""","""","""","""","""","""",NA,NA,1,1,1,1,"wrong","right","It's wrong and I can provide a valid reason.","wrong","wrong","not wrong","not wrong","wrong","not wrong",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,TRUE,3,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
54,"control","45695.19999999553","debriefing_form.html","external-html",27,608917,"0.0-7.0","5dd5378596afdf4eb31c657b","618b9cbf713205f8e1c56f1c","618bca167f8707a9a1e44bb8","zu95vzy0szrj1g7","43",0,1738.59999999404,1,14766.099999994,NA,"4995.5",NA,NA,NA,NA,8,45567.8999999985,"Trolley","control","3","15282.29999999702",1,0,0,NA,7,0,0,0,0,0,0,0,0,0,"2",1,0,0,"I'm a fat woman. I would offer to sacrifice myself to save the other five people, but honestly wouldn't want to have that choice made for me. Killing somebody is almost always morally wrong. Even if other lives would've been saved, it's not up to the other dude to play for either. Paul I think was his name. Also In my family history there's a tragedy involving a train, and my uncle was stuck in the tracks. Instead of allowing him to die alone, my grandfather sacrificed his life trying to save his son. I guess I'm biased by these circumstances.","2","4910.80000000447",1,0,0,NA,7,"I have not, but as I stated in the previous question, a similarly tragic scenario happened in my family prior to my birth.","Fat people have value too, and not just to be used as sacrificial lambs!","""","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
511,"control","1839.2999999523163","""","survey-text",26,182679,"0.0-6.0","5dd55746f3b7c2503ad3eb7e","618b9cbf713205f8e1c56ef4","618c0c69ef4e2eb7b8012e43","88c6ftf9a6hbr66","54",0,1573.40000009537,1,9724,NA,"5410.200000047684",NA,NA,NA,NA,8,17516.9000000954,"Jennifer","control","1","5363.299999952316",1,0,0,NA,7,0,1,0,0,1,0,1,1,0,"2",1,0,0,"It's wrong to do that because that's disrespectful to that person and their family.","1","4432.200000047684",1,0,0,NA,7,"No","""","{""Q0"":""}","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","not wrong","not wrong","wrong","wrong",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
700,"cog_load","3864.300000011921","""","survey-text",52,275053,"0.0-6.0","5dd85584e2dcbd80078ad6a3","618b9cbf713205f8e1c56ef0","618c246120c399df982ca49c","5ew1fsp6pltkgaq","47",0,1869.40000000596,1,16205.2999999821,"0","17379.79999998212",1,0,0,"2",8,19161.400000006,"Jennifer","cog_load","1","11435",1,0,0,"3",7,0,0,0,0,0,0,0,0,0,"1",1,0,0,NA,"1","6444.300000011921",1,0,0,"0",7,"No","No","{""Q0"":""No""}","""","""","""","""",NA,NA,1,1,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","no reason","unstated","reason","reason","reason",TRUE
