"condition","InCS","cog_load_CS_num","NFC","reason_always","changed","gender","Ju1_bin","Ju2_bin","right_change","study","right_right"
"cog_load","It's wrong but I can't think of a reason.",8,-0.722222222222222,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",4,2.27777777777778,"reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",8,0.944444444444445,"reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",8,1,"reason","not_changed","Male","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",4,1.16666666666667,"reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",7,1.11111111111111,"not_always_reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",8,-0.222222222222222,"not_always_reason","changed","Male","wrong","neutral","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",6,0.444444444444445,"reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",7,-0.111111111111111,"not_always_reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",4,0.555555555555555,"reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",4,1,"reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",5,0.388888888888889,"reason","not_changed","Male","wrong","wrong","reasons","study_1",FALSE
"cog_load","It's wrong and I can provide a valid reason.",8,0.166666666666667,"reason","not_changed","Female","wrong","wrong","reasons","study_1",FALSE
"control","There is nothing wrong.",0,0.722222222222222,"not_always_reason","not_changed","Female","right","right","right initially","study_1",TRUE
"control","There is nothing wrong.",0,-0.222222222222222,"not_always_reason","not_changed","Female","neutral","neutral","nothing wrong","study_1",FALSE
"control","There is nothing wrong.",0,-1.22222222222222,"not_always_reason","not_changed","Male","right","right","right initially","study_1",TRUE
"control","There is nothing wrong.",0,1.16666666666667,"reason","not_changed","Female","right","right","right initially","study_1",TRUE
"control","There is nothing wrong.",0,2,"reason","not_changed","Male","right","right","right initially","study_1",TRUE
"control","It's wrong but I can't think of a reason.",0,-0.444444444444445,"not_always_reason","changed","Female","wrong","neutral","dumbfounded","study_1",FALSE
"control","It's wrong but I can't think of a reason.",0,0,"not_always_reason","changed","Female","wrong","neutral","dumbfounded","study_1",FALSE
"control","It's wrong but I can't think of a reason.",0,0.333333333333333,"not_always_reason","changed","Female","wrong","neutral","dumbfounded","study_1",FALSE
