"run_id","condition","rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","age","gender","gender_rt","attention_check","attention_check_rt","scenario","test_condition","InJu1","InJu1_rt","InJu1_trial1","InJu1_trial2","InJu1_trial3","conf1","ca1","sw1","rsn1","ca2","sw2","rsn2","ca3","sw3","rsn3","CS","CS_rt","CS_trial1","CS_trial2","CS_trial3","InJu2","InJu2_rt","InJu2_trial1","InJu2_trial2","InJu2_trial3","conf2","responses","stimulus","button_pressed","key_press","response","recorded_at","ip","user_agent","device","browser","browser_version","platform","platform_version","source_code_version","cog_practice","cog_practice1","cog_practice2","cog_practice3","cog_load_response8","cog_load_response0","reason","cog_load_response5","gender_other"
10,"control","5878","""","html-slider-response",10,47544,"0.0-3.0-3.0-3.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>How confident are you about your judgement?</p><p>(1 = Not at all Confident; 7 = Extremely Confident)</p>","""","""","6",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","3482","""","html-button-response",11,51030,"0.0-3.0-3.0-4.0-0.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>Do you agree that any concerns regarding reproductive complications are eased by their using of two forms of contraception?</p>","0","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","738","""","html-button-response",12,51776,"0.0-3.0-3.0-4.0-1.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>Do you think it's wrong?</p>","0","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","485","""","html-button-response",13,52264,"0.0-3.0-3.0-4.0-2.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>Do you have a reason for your judgement?</p>","1","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","733","""","html-button-response",14,53001,"0.0-3.0-3.0-4.0-3.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>And do you accept that they are both consenting adults, and that they both consented and enjoyed it?</p>","0","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","959","""","html-button-response",15,53962,"0.0-3.0-3.0-4.0-4.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>Do you think it's wrong?</p>","1","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","1021","""","html-button-response",16,54986,"0.0-3.0-3.0-4.0-5.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>Do you have a reason for your judgement?</p>","0","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","929","""","html-button-response",17,55918,"0.0-3.0-3.0-4.0-6.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>And do you concede that nobody else was affected by their actions?</p>","0","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","881","""","html-button-response",18,56802,"0.0-3.0-3.0-4.0-7.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>Do you think it's wrong?</p>","0","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","2917","""","html-button-response",19,59727,"0.0-3.0-3.0-4.0-8.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>Do you have a reason for your judgement?</p>","0","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
